,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
531,The Internship,tt2234155,The Internship,No,,11400000,1:59,5700000,The Internship,1000.0,movie,The Internship,The Internship,2013,119,Comedy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,['United States of America'],119
523,Baby Driver,tt3890160,Baby Driver,No,,10800000,1:53,5700000,Baby Driver,1000.0,movie,Baby Driver,Baby Driver,2017,113,"Action,Crime,Drama","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['GB'],"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","['United Kingdom', 'United States of America']",113
528,Jack the Giant Slayer,tt1351685,Jack the Giant Slayer,No,,10800000,1:54,5700000,Jack the Giant Slayer,1000.0,movie,Jack the Giant Slayer,Jack the Giant Slayer,2013,114,"Action,Adventure,Fantasy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",['United States of America'],114
522,American Assassin,tt1961175,American Assassin,No,,10600000,1:52,5700000,American Assassin,1000.0,movie,American Assassin,American Assassin,2017,111,"Action,Thriller","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Following the murder of his fiancée, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets.","['Hong Kong', 'United States of America']",112
526,Don't Let Go,tt6803212,Don't Let Go (2019),No,,9900000,1:44,5700000,Don't Let Go,2019.0,movie,Don't Let Go,Don't Let Go,2019,103,"Drama,Horror,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A detective suffering from a personal loss receives a call from his recently deceased niece. Being able to communicate across time, the two work together to try and stop the crime before it occurs.",['United States of America'],104
529,Knock at the Cabin,tt15679400,Knock at the Cabin,No,,9500000,1:40,5700000,Knock at the Cabin,1000.0,movie,Knock at the Cabin,Knock at the Cabin,2023,100,"Horror,Mystery,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",['US'],"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","['United States of America', 'China', 'Japan']",100
527,Home Team,tt14592064,Home Team,Yes,2022-01-28,9400000,1:39,5700000,Home Team,2022.0,movie,Home Team,Home Team,2022,95,"Comedy,Drama,Sport","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Two years after a Super Bowl win when NFL head coach Sean Payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his Pop Warner football team.",['United States of America'],99
532,Wrath of the Titans,tt1646987,Wrath of the Titans,No,,9400000,1:39,5700000,Wrath of the Titans,1000.0,movie,Wrath of the Titans,Wrath of the Titans,2012,99,"Action,Adventure,Fantasy","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Perseus tries to live a quieter life as a village fisherman while – dangerously weakened by humanity's lack of devotion – the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.","['Spain', 'United States of America']",99
521,Alvin and the Chipmunks: The Squeakquel,tt1231580,Alvin and the Chipmunks: The Squeakquel,No,,8500000,1:29,5700000,Alvin and the Chipmunks: The Squeakquel,1000.0,movie,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,2009,88,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",['United States of America'],89
533,Azaad,tt26439870,Azaad // ____,Yes,,12700000,2:16,5600000,Azaad,1000.0,movie,Azaad,Azaad,2025,147,"Adventure,Drama","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"In 1920s India, a young stable boy bonds with a spirited horse. Amid rebellion and tyranny, his quest to ride the majestic animal becomes a journey of courage, awakening him to the country's fight for freedom.",['India'],136
535,Jack,tt28622758,Jack (2025),Yes,,12400000,2:13,5600000,Jack,2025.0,movie,Jack,Jack,2025,133,"Action,Comedy,Crime","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"Jack, an aspiring but overeager intelligence agent, goes against protocol and the real spies, to foil a potential attack on home turf.",['India'],133
